NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
A. Tinnerholm,New York City FC,USA Major League Soccer,RB,Silver,73,82,73,58,69,27,68,19-09-2018 12:10
A. Bamba,Angers SCO,French Ligue 1,ST,Silver,73,57,68,74,73,62,66,19-09-2018 12:10
R. Inglese,Parma,Italian Serie B,CDM,Silver,73,65,74,70,71,31,76,19-09-2018 12:10
Ilie Sánchez,Sporting Kansas City,USA Major League Soccer,CB,Silver,73,81,67,68,77,44,57,19-09-2018 12:10
J. Guidetti,Deportivo Alavés,Spain Primera Division,RB,Silver,73,70,75,51,69,30,75,19-09-2018 12:10
Wilson Eduardo,Aytemiz Alanyaspor,Turkish Süper Lig,RB,Silver,73,68,57,63,68,72,69,19-09-2018 12:10
B. Bereszyński,U.C. Sampdoria,Italian Serie A,CDM,Silver,73,76,70,71,74,43,60,19-09-2018 12:10
Timor,Getafe CF,Spain Primera Division,CB,Silver,73,56,69,70,70,68,69,19-09-2018 12:10
N. Jørgensen,Kasimpaşa SK,Turkish Süper Lig,LM,Silver,73,49,33,58,57,72,80,19-09-2018 12:10
S. Kittel,Hamburger SV,German 2. Bundesliga,ST,Silver,73,69,59,70,71,70,71,19-09-2018 12:10
T. Melia,Sporting Kansas City,USA Major League Soccer,CAM,Silver,73,80,71,67,76,41,57,19-09-2018 12:10
L. Rupp,Norwich City,English Premier League,CM,Silver,73,80,62,67,71,70,75,19-09-2018 12:10
Yoon Bit Garam,Ulsan Hyundai FC,Korean K League 1,CDM,Silver,73,81,49,64,68,69,81,19-09-2018 12:10
Juan Jesus,Napoli,Italian Serie A,LB,Silver,73,67,68,73,72,66,73,19-09-2018 12:10
G. Baldock,Sheffield United,English League Championship,CB,Silver,73,78,40,62,73,70,66,19-09-2018 12:10
Rafael Martins,Moreirense FC,Portuguese Liga ZON SAGRES,CDM,Silver,73,78,71,68,72,70,75,19-09-2018 12:10
L. Tonelli,Empoli,Italian Serie A,CB,Silver,73,58,72,58,70,42,76,19-09-2018 12:10
N. De Préville,FC Metz,French Ligue 1,RB,Silver,73,57,38,53,56,72,81,19-09-2018 12:10
M. Colin,Birmingham City,English League Championship,CM,Silver,73,53,32,45,52,73,75,19-09-2018 12:10
M. Le Bihan,Dijon FCO,French Ligue 2,ST,Silver,73,82,76,67,73,34,71,19-09-2018 12:10
L. Krejčí,AC Sparta Praha,Czech Republic Gambrinus Liga,LM,Silver,73,66,70,73,72,57,78,19-09-2018 12:10
C. Gytkjær,AC Monza,Italian Serie B,CB,Silver,73,64,57,63,67,72,78,19-09-2018 12:10
K. McLean,Norwich City,English Premier League,ST,Silver,73,68,58,65,67,71,80,19-09-2018 12:10
R. Brady,,,CAM,Silver,73,58,71,71,70,66,65,19-09-2018 12:10
Recio,CD Leganés,Spanish Segunda División,LB,Silver,73,67,68,70,76,36,59,19-09-2018 12:10
A. Cornelius,Trabzonspor,Turkish Süper Lig,CB,Silver,73,65,70,69,71,62,71,19-09-2018 12:10
M. Haïdara,Racing Club de Lens,French Ligue 1,LB,Silver,73,49,60,68,68,71,74,19-09-2018 12:10
A. Ienaga,Kawasaki Frontale,Japanese J. League Division 1,LB,Silver,73,68,70,74,75,64,64,19-09-2018 12:10
S. Zoller,VfL Bochum 1848,German 1. Bundesliga,LB,Silver,73,90,63,61,71,68,79,19-09-2018 12:10
T. Chandler,Eintracht Frankfurt,German 1. Bundesliga,ST,Silver,73,72,49,60,68,68,72,19-09-2018 12:10
F. Quignon,FC Dallas,USA Major League Soccer,CAM,Silver,73,77,54,67,68,69,75,19-09-2018 12:10
J. Butland,Crystal Palace,English Premier League,RW,Silver,73,61,72,64,71,36,74,19-09-2018 12:10
V. Germain,Montpellier Hérault SC,French Ligue 1,ST,Silver,73,79,72,67,75,23,59,19-09-2018 12:10
L. Andersen,Aalborg BK,Danish Superliga,CM,Silver,73,43,74,66,67,37,79,19-09-2018 12:10
J. Brabec,,,LB,Silver,73,62,59,65,70,72,73,19-09-2018 12:10
J. Jønsson,Cádiz CF,Spain Primera Division,RB,Silver,73,43,42,57,58,73,85,19-09-2018 12:10
B. Reynet,Dijon FCO,French Ligue 2,ST,Silver,73,72,67,70,73,67,69,19-09-2018 12:10
Fede Vico,CD Leganés,Spanish Segunda División,LM,Silver,73,75,70,70,74,54,68,19-09-2018 12:10
S. van de Streek,FC Utrecht,Holland Eredivisie,RM,Silver,73,83,70,66,73,40,58,19-09-2018 12:10
R. Holzhauser,K Beerschot VA,Belgian Jupiler Pro League,CAM,Silver,73,72,70,64,78,31,56,19-09-2018 12:10
K. Stöger,1. FSV Mainz 05,German 1. Bundesliga,CDM,Silver,73,77,59,70,74,34,66,19-09-2018 12:10
Iván Sánchez,Birmingham City,English League Championship,ST,Silver,73,60,58,74,66,62,67,19-09-2018 12:10
B. Samba,Nottingham Forest,English League Championship,CB,Silver,73,32,73,66,65,35,62,19-09-2018 12:10
F. Kiss,Ettifaq FC,Saudi Abdul L. Jameel League,CAM,Silver,73,67,51,71,71,68,82,19-09-2018 12:10
S. Rodríguez,CS Emelec,Ecuadorian Serie A,CB,Silver,73,76,75,57,72,50,72,19-09-2018 12:10
Ruiz de Galarreta,RCD Mallorca,Spain Primera Division,LB,Silver,73,85,62,67,74,68,77,19-09-2018 12:10
Fernando,Unión Deportiva Almería,Spanish Segunda División,CB,Silver,73,57,39,61,60,73,77,19-09-2018 12:10
Marcelo,Al Tai,Saudi Abdul L. Jameel League,RB,Silver,73,64,49,49,56,72,77,19-09-2018 12:10
L. Ceppitelli,Cagliari,Italian Serie A,CM,Silver,73,80,56,58,70,70,64,19-09-2018 12:10
D. Gayle,Newcastle United,English Premier League,CM,Silver,73,83,71,65,75,37,67,19-09-2018 12:10
Jairo,Málaga CF,Spanish Segunda División,LWB,Silver,73,69,73,55,68,26,69,19-09-2018 12:10
S. Kapino,DSC Arminia Bielefeld,German 1. Bundesliga,CM,Silver,73,80,72,63,74,42,66,19-09-2018 12:10
S. Lung,Yukatel Kayserispor,Turkish Süper Lig,CB,Silver,73,60,43,49,57,74,71,19-09-2018 12:10
V. Chiricheș,U.S. Sassuolo Calcio,Italian Serie A,ST,Silver,73,65,63,69,70,71,73,19-09-2018 12:10
J. Willems,SpVgg Greuther Fürth,German 1. Bundesliga,CB,Silver,73,48,40,48,49,75,80,19-09-2018 12:10
E. Alioski,Al Ahli,Saudi Abdul L. Jameel League,ST,Silver,73,73,70,52,65,32,76,19-09-2018 12:10
L. Aued,Universidad Católica,Chilian Campeonato Nacional,CM,Silver,73,71,67,71,72,57,75,19-09-2018 12:10
P. Nardi,FC Lorient,French Ligue 1,CAM,Silver,73,79,68,68,75,46,61,19-09-2018 12:10
Juan Cruz,CA Osasuna,Spain Primera Division,RW,Silver,73,66,35,55,62,72,75,19-09-2018 12:10
D. Garmash,Dynamo Kyiv,Ukrainian Premier League,ST,Silver,73,49,67,65,61,74,78,19-09-2018 12:10
T. Fountas,SK Rapid Wien,Austrian Football Bundesliga,LB,Silver,73,82,56,59,70,72,74,19-09-2018 12:10
C. Robinson,West Bromwich Albion,English League Championship,LM,Silver,73,65,55,64,69,76,71,19-09-2018 12:10
R. Bezus,KAA Gent,Belgian Jupiler Pro League,CM,Silver,73,65,40,59,59,72,74,19-09-2018 12:10
S. Peeters,KAS Eupen,Belgian Jupiler Pro League,CB,Silver,73,61,26,51,54,73,76,19-09-2018 12:10
M. Weiser,SV Werder Bremen,German 2. Bundesliga,LB,Silver,73,59,43,60,64,71,74,19-09-2018 12:10
F. Fragapane,Minnesota United FC,USA Major League Soccer,CF,Silver,73,55,63,65,65,74,82,19-09-2018 12:10
J. Lukaku,Lazio,Italian Serie A,LB,Silver,73,67,35,52,62,73,70,19-09-2018 12:10
J. Uronen,Stade Brestois 29,French Ligue 1,RB,Silver,73,76,53,58,70,71,76,19-09-2018 12:10
E. Krafth,Newcastle United,English Premier League,CDM,Silver,73,75,62,68,70,69,82,19-09-2018 12:10
Rafael Silva,Wuhan FC,Chinese Super League,RB,Silver,73,72,31,48,54,70,82,19-09-2018 12:10
Filipe Augusto,Damac FC,Saudi Abdul L. Jameel League,LB,Silver,73,64,66,72,74,56,61,19-09-2018 12:10
Lucas Lima,İstanbul Başakşehir FK,Turkish Süper Lig,ST,Silver,73,61,55,72,71,65,66,19-09-2018 12:10
A. Linde,Molde FK,Norwegian Eliteserien,CB,Silver,73,70,63,68,72,63,71,19-09-2018 12:10
S. Ajayi,West Bromwich Albion,English League Championship,CB,Silver,73,66,72,70,72,49,69,19-09-2018 12:10
A. Yiadom,Reading,English League Championship,RM,Silver,73,64,43,56,56,71,80,19-09-2018 12:10
L. Fernández,Club Nacional de Football,Uruguayan Primera División,CAM,Silver,73,51,72,77,73,61,62,19-09-2018 12:10
K. Przybyłko,Philadelphia Union,USA Major League Soccer,CDM,Silver,73,85,61,69,74,68,72,19-09-2018 12:10
D. Bessa,Hellas Verona,Italian Serie A,CDM,Silver,73,44,37,54,54,74,69,19-09-2018 12:10
M. Danielson,Dalian Professional Football Club,Chinese Super League,CAM,Silver,73,64,30,52,46,72,79,19-09-2018 12:10
C. Hérelle,Stade Brestois 29,French Ligue 1,CAM,Silver,73,67,59,72,73,67,67,19-09-2018 12:10
H. Magnússon,PFC CSKA Moscow,Russian Premier League,CM,Silver,73,69,58,65,72,71,71,19-09-2018 12:10
Marcos Júnior,Yokohama F. Marinos,Japanese J. League Division 1,CDM,Silver,73,75,68,67,73,32,63,19-09-2018 12:10
J. Gastien,Clermont Foot 63,French Ligue 1,CM,Silver,73,60,43,60,61,74,72,19-09-2018 12:10
S. Byram,Norwich City,English Premier League,LB,Silver,73,60,56,67,73,67,69,19-09-2018 12:10
B. Hrgota,SpVgg Greuther Fürth,German 1. Bundesliga,RB,Silver,73,38,76,66,66,32,72,19-09-2018 12:10
M. Tanković,AEK Athens,Greek Super League,LB,Silver,73,93,64,63,75,34,62,19-09-2018 12:10
S. Mitrović,Getafe CF,Spain Primera Division,ST,Silver,73,73,71,60,70,43,78,19-09-2018 12:10
F. Tardieu,ESTAC Troyes,French Ligue 1,LM,Silver,73,86,71,58,68,43,78,19-09-2018 12:10
D. Dessoleil,Royal Antwerp FC,Belgian Jupiler Pro League,ST,Silver,73,60,54,69,70,66,66,19-09-2018 12:10
C. Goodwin,Adelaide United,Australian Hyundai A-League,CAM,Silver,73,63,66,73,73,57,59,19-09-2018 12:10
J. van Overeem,FC Utrecht,Holland Eredivisie,CDM,Silver,73,71,69,73,76,44,58,19-09-2018 12:10
A. Hassan,İttifak Holding Konyaspor,Turkish Süper Lig,CDM,Silver,73,77,60,68,80,45,57,19-09-2018 12:10
R. Quioto,Club de Foot Montréal,USA Major League Soccer,CM,Silver,73,78,73,61,71,25,74,19-09-2018 12:10
A. Brignoli,Panathinaikos FC,Greek Super League,RM,Silver,73,79,69,62,74,37,67,19-09-2018 12:10
J. Vigón,Tigres U.A.N.L.,Mexican Liga MX,LM,Silver,73,64,37,48,54,73,79,19-09-2018 12:10
Fran Sol,SD Eibar,Spanish Segunda División,LM,Silver,73,68,74,62,67,39,80,19-09-2018 12:10
L. Schaub,1. FC Köln,German 1. Bundesliga,RM,Silver,73,90,59,71,72,56,74,19-09-2018 12:10
Edgar Ié,Trabzonspor,Turkish Süper Lig,CM,Silver,73,73,69,73,73,43,56,19-09-2018 12:10
Lucas João,Reading,English League Championship,ST,Silver,73,73,52,67,68,70,72,19-09-2018 12:10
C. Nørgaard,Brentford,English Premier League,CM,Silver,73,65,25,45,57,70,77,19-09-2018 12:10
J. Nilsson,DSC Arminia Bielefeld,German 1. Bundesliga,ST,Silver,73,54,43,59,60,72,78,19-09-2018 12:10
J. Velázquez,Club Atlético Talleres,Argentina Primera División,LB,Silver,73,75,76,68,65,52,82,19-09-2018 12:10
B. Engels,Royal Antwerp FC,Belgian Jupiler Pro League,CB,Silver,73,66,48,55,61,73,76,19-09-2018 12:10
Frederico Venâncio,SD Eibar,Spanish Segunda División,CB,Silver,73,65,68,76,73,55,66,19-09-2018 12:10
D. Cataldi,Lazio,Italian Serie A,LB,Silver,73,82,66,69,74,34,57,19-09-2018 12:10
K. Möhwald,1. FC Union Berlin,German 1. Bundesliga,LM,Silver,73,69,30,46,55,74,72,19-09-2018 12:10
N. Gavory,Standard de Liège,Belgian Jupiler Pro League,ST,Silver,73,54,45,48,53,72,79,19-09-2018 12:10
J. Haberer,Sport-Club Freiburg,German 1. Bundesliga,ST,Silver,73,85,49,66,73,67,70,19-09-2018 12:10
Kwon Chang Hoon,Suwon Samsung Bluewings,Korean K League 1,CB,Silver,73,55,48,65,61,70,78,19-09-2018 12:10
M. Meyer,Fenerbahçe SK,Turkish Süper Lig,CM,Silver,73,53,37,64,66,74,68,19-09-2018 12:10
Nacho,Real Valladolid CF,Spanish Segunda División,CB,Silver,73,74,71,70,75,38,63,19-09-2018 12:10
A. Solari,RC Celta de Vigo,Spain Primera Division,ST,Silver,73,72,68,71,74,37,63,19-09-2018 12:10
E. Roco,Elche CF,Spain Primera Division,CM,Silver,73,61,68,74,74,69,67,19-09-2018 12:10
C. Lenz,Eintracht Frankfurt,German 1. Bundesliga,LM,Silver,73,44,43,56,57,74,78,19-09-2018 12:10
Ivan Cavaleiro,Fulham,English League Championship,CB,Silver,73,63,73,41,57,26,73,19-09-2018 12:10
M. Pavlović,Amiens SC,French Ligue 2,CDM,Silver,73,64,33,51,56,73,73,19-09-2018 12:10
A. Hurtado,Pachuca,Mexican Liga MX,CB,Silver,73,78,68,70,74,52,72,19-09-2018 12:10
Medrán,Chicago Fire Football Club,USA Major League Soccer,RB,Silver,73,83,69,70,76,47,71,19-09-2018 12:10
G. Zardes,Columbus Crew,USA Major League Soccer,CB,Silver,73,73,67,71,78,32,52,19-09-2018 12:10
D. Yedlin,Galatasaray SK,Turkish Süper Lig,CB,Silver,73,66,68,72,73,62,72,19-09-2018 12:10
Ó. Duarte,Levante Unión Deportiva,Spain Primera Division,CDM,Silver,73,59,59,71,70,73,71,19-09-2018 12:10
W. Cyprien,FC Nantes,French Ligue 1,CM,Silver,73,64,52,59,57,72,78,19-09-2018 12:10
C. Salcedo,Tigres U.A.N.L.,Mexican Liga MX,CB,Silver,73,83,68,70,70,52,73,19-09-2018 12:10
B. Davies,Sheffield United,English League Championship,RB,Silver,73,72,49,65,69,72,69,19-09-2018 12:10
Róber,Levante Unión Deportiva,Spain Primera Division,CDM,Silver,73,82,69,68,76,40,66,19-09-2018 12:10
L. Cavallini,Vancouver Whitecaps FC,USA Major League Soccer,CB,Silver,73,75,58,69,67,70,71,19-09-2018 12:10
L. Cháves,Argentinos Juniors,Argentina Primera División,CM,Silver,73,75,71,67,77,34,46,19-09-2018 12:10
W. Troost-Ekong,Watford,English Premier League,CM,Silver,73,60,64,73,73,67,70,19-09-2018 12:10
M. Crépeau,Vancouver Whitecaps FC,USA Major League Soccer,CM,Silver,73,64,74,68,69,38,78,19-09-2018 12:10
M. Nervo,Club Atlas,Mexican Liga MX,CAM,Silver,73,82,70,66,74,49,67,19-09-2018 12:10
D. Valdés,Santos Laguna,Mexican Liga MX,CB,Silver,73,62,34,50,47,73,77,19-09-2018 12:10
F. Mora,Portland Timbers,USA Major League Soccer,CAM,Silver,73,56,44,63,56,73,84,19-09-2018 12:10
K. Sema,Watford,English Premier League,RB,Silver,73,73,36,44,50,73,73,19-09-2018 12:10
A. Mowatt,West Bromwich Albion,English League Championship,CB,Silver,73,93,66,61,76,38,49,19-09-2018 12:10
J. Castelletto,FC Nantes,French Ligue 1,CB,Silver,73,78,67,68,73,56,62,19-09-2018 12:10
T. Kleindienst,1. FC Heidenheim 1846,German 2. Bundesliga,CM,Silver,73,77,69,63,70,47,71,19-09-2018 12:10
S. Otálvaro,Club Olimpia,Paraguayan Primera División,CDM,Silver,73,86,66,70,74,65,74,19-09-2018 12:10
S. Barreiro,Club León,Mexican Liga MX,RW,Silver,73,76,73,68,75,37,64,19-09-2018 12:10
F. Pardo,Deportivo Toluca,Mexican Liga MX,RM,Silver,73,32,32,44,51,75,74,19-09-2018 12:10
R. Loaiza,Defensa y Justicia,Argentina Primera División,CB,Silver,73,68,68,73,72,52,63,19-09-2018 12:10
A. Andrade,Atlético Nacional,Colombian Liga Postobón,CM,Silver,73,81,35,63,72,69,71,19-09-2018 12:10
I. Lichnovsky,Al Shabab,Saudi Abdul L. Jameel League,ST,Silver,73,73,48,69,64,68,63,19-09-2018 12:10
M. Cuero,Club Atlético Banfield,Argentina Primera División,RM,Silver,73,78,34,59,68,72,72,19-09-2018 12:10
I. Arboleda,Rayo Vallecano,Spain Primera Division,ST,Silver,73,56,33,54,51,73,76,19-09-2018 12:10
A. Ricaurte,FC Dallas,USA Major League Soccer,ST,Silver,73,59,76,70,71,48,67,19-09-2018 12:10
J. Toljan,U.S. Sassuolo Calcio,Italian Serie A,CDM,Silver,73,79,69,68,77,44,63,19-09-2018 12:10
G. Gallon,ESTAC Troyes,French Ligue 1,CM,Silver,73,44,40,53,52,77,57,19-09-2018 12:10
C. Cueva,Al Fateh,Saudi Abdul L. Jameel League,LM,Silver,73,71,31,46,58,74,67,19-09-2018 12:10
D. González,Boca Juniors,Argentina Primera División,RM,Silver,73,72,66,70,77,31,48,19-09-2018 12:10
S. Schonlau,Hamburger SV,German 2. Bundesliga,ST,Silver,73,77,73,67,74,36,61,19-09-2018 12:10
E. Mas,Orlando City Soccer Club,USA Major League Soccer,ST,Silver,73,79,73,67,72,32,69,19-09-2018 12:10
F. Mancuello,Vélez Sarsfield,Argentina Primera División,CB,Silver,73,63,42,63,54,72,73,19-09-2018 12:10
F. Meza,Club Necaxa,Mexican Liga MX,ST,Silver,73,81,57,69,73,69,71,19-09-2018 12:10
R. Rey,Gimnasia y Esgrima La Plata,Argentina Primera División,RM,Silver,73,53,43,62,54,72,79,19-09-2018 12:10
L. Faravelli,Independiente del Valle,Ecuadorian Serie A,RM,Silver,73,56,62,75,69,67,62,19-09-2018 12:10
S. Moyano,Unión de Santa Fe,Argentina Primera División,CDM,Silver,73,64,68,73,72,70,74,19-09-2018 12:10
A. Hunou,Minnesota United FC,USA Major League Soccer,CB,Silver,73,49,55,63,66,73,63,19-09-2018 12:10
C. Auzqui,Club Atlético Talleres,Argentina Primera División,CDM,Silver,73,71,72,59,71,37,56,19-09-2018 12:10
R. Ranftl,FC Schalke 04,German 2. Bundesliga,RM,Silver,73,85,67,69,75,44,67,19-09-2018 12:10
B. Chardonnet,Stade Brestois 29,French Ligue 1,CB,Silver,73,60,51,65,65,68,76,19-09-2018 12:10
Henrique Dourado,Henan Songshan Longmen FC,Chinese Super League,CM,Silver,73,43,46,72,68,69,63,19-09-2018 12:10
Jason,Valencia CF,Spain Primera Division,RM,Silver,73,65,61,72,69,68,75,19-09-2018 12:10
Samir,Udinese Calcio,Italian Serie A,CB,Silver,73,68,61,71,75,68,72,19-09-2018 12:10
Quintillà,CD Leganés,Spanish Segunda División,CB,Silver,73,38,45,48,48,75,74,19-09-2018 12:10
A. Jahanbakhsh,Feyenoord,Holland Eredivisie,RB,Silver,73,88,72,67,70,39,78,19-09-2018 12:10
T. Jedvaj,FC Lokomotiv Moscow,Russian Premier League,CDM,Silver,73,93,67,62,75,37,53,19-09-2018 12:10
R. Gagliolo,US Salernitana 1919,Italian Serie A,CB,Silver,73,68,59,63,63,71,78,19-09-2018 12:10
G. Letizia,Benevento,Italian Serie B,LM,Silver,73,72,75,73,72,68,74,19-09-2018 12:10
C. Stanković,AEK Athens,Greek Super League,CAM,Silver,73,69,74,66,65,28,71,19-09-2018 12:10
M. Tisserand,Fenerbahçe SK,Turkish Süper Lig,CDM,Silver,73,64,66,69,70,70,68,19-09-2018 12:10
M. Diemers,Feyenoord,Holland Eredivisie,CB,Silver,73,67,72,72,72,59,73,19-09-2018 12:10
A. Browne,Preston North End,English League Championship,ST,Silver,73,66,72,58,68,38,76,19-09-2018 12:10
J. Cooper,Millwall,English League Championship,CB,Silver,73,66,68,77,70,58,64,19-09-2018 12:10
Akapo,Cádiz CF,Spain Primera Division,CAM,Silver,73,62,49,62,65,70,79,19-09-2018 12:10
S. Torrico,San Lorenzo de Almagro,Argentina Primera División,CAM,Silver,73,60,52,64,67,73,73,19-09-2018 12:10
H. Menosse,Deportivo Cali,Colombian Liga Postobón,CAM,Silver,73,67,68,69,68,62,57,19-09-2018 12:10
J. Beauguel,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,LM,Silver,73,76,66,68,74,32,56,19-09-2018 12:10
Bruno Henrique,Al Ittihad,Saudi Abdul L. Jameel League,RB,Silver,73,89,71,53,72,23,59,19-09-2018 12:10
A. Seck,Royal Antwerp FC,Belgian Jupiler Pro League,CB,Silver,73,64,62,73,72,70,71,19-09-2018 12:10
P. Arriola,D.C. United,USA Major League Soccer,LM,Silver,73,76,72,63,71,36,72,19-09-2018 12:10
A. Hjulsager,KAA Gent,Belgian Jupiler Pro League,RB,Silver,73,73,60,72,76,60,66,19-09-2018 12:10
J. Dossou,Clermont Foot 63,French Ligue 1,CAM,Silver,73,60,50,61,68,67,76,19-09-2018 12:10
D. Ndong,Yeni Malatyaspor,Turkish Süper Lig,LB,Silver,73,55,48,57,59,72,78,19-09-2018 12:10
Pozo,Rayo Vallecano,Spain Primera Division,CAM,Silver,73,82,73,52,69,35,67,19-09-2018 12:10
Rafa Soares,Vitória de Guimarães,Portuguese Liga ZON SAGRES,CDM,Silver,73,76,72,59,68,31,67,19-09-2018 12:10
H. Palacios,Elche CF,Spain Primera Division,CB,Silver,73,78,56,67,72,68,68,19-09-2018 12:10
M. Helik,Barnsley,English League Championship,ST,Silver,73,65,66,73,73,60,74,19-09-2018 12:10
Edgar Méndez,Deportivo Alavés,Spain Primera Division,ST,Silver,73,78,55,67,70,67,67,19-09-2018 12:10
A. Mosquera,Club León,Mexican Liga MX,CB,Silver,73,73,56,71,84,37,50,19-09-2018 12:10
J. Pohjanpalo,Çaykur Rizespor,Turkish Süper Lig,CDM,Silver,73,65,73,71,77,41,63,19-09-2018 12:10
S. Janko,Real Valladolid CF,Spanish Segunda División,CB,Silver,73,80,67,70,74,40,60,19-09-2018 12:10
Iza Carcelén,Cádiz CF,Spain Primera Division,RW,Silver,73,79,62,69,70,70,75,19-09-2018 12:10
Diego Rico,Real Sociedad,Spain Primera Division,LM,Silver,73,94,51,64,72,67,69,19-09-2018 12:10
A. Grassi,Cagliari,Italian Serie A,ST,Silver,73,62,26,51,55,74,79,19-09-2018 12:10
M. Ilaimaharitra,Royal Charleroi S.C.,Belgian Jupiler Pro League,LB,Silver,73,61,50,61,65,73,77,19-09-2018 12:10
É. Gutiérrez,PSV,Holland Eredivisie,ST,Silver,73,50,27,48,56,75,73,19-09-2018 12:10
L. Kalinić,Hajduk Split,Croatian Prva HNL,CB,Silver,73,73,72,64,70,39,71,19-09-2018 12:10
N. Eliasson,Nîmes Olympique,French Ligue 2,CAM,Silver,73,56,51,71,65,74,64,19-09-2018 12:10
M. Veljković,SV Werder Bremen,German 2. Bundesliga,LB,Silver,73,74,72,56,68,24,76,19-09-2018 12:10
J. Rinne,Aalborg BK,Danish Superliga,LB,Silver,73,77,48,61,69,70,70,19-09-2018 12:10
D. Dibusz,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,CB,Silver,73,75,24,48,65,71,74,19-09-2018 12:10
P. Seguin,SpVgg Greuther Fürth,German 1. Bundesliga,CB,Silver,73,36,67,71,70,68,81,19-09-2018 12:10
J. Staněk,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,ST,Silver,73,58,49,54,55,73,70,19-09-2018 12:10
Vigaray,Real Zaragoza,Spanish Segunda División,LW,Silver,73,51,38,46,43,74,76,19-09-2018 12:10
F. Mladenović,Legia Warszawa,Polish T-Mobile Ekstraklasa,CB,Silver,73,32,27,39,53,71,75,19-09-2018 12:10
P. Berg,FK Bodø/Glimt,Norwegian Eliteserien,CB,Silver,73,77,70,70,75,26,63,19-09-2018 12:10
J. Komar,Club Atlético Talleres,Argentina Primera División,CAM,Silver,73,79,64,66,76,43,52,19-09-2018 12:10
M. Thorsby,U.C. Sampdoria,Italian Serie A,CAM,Silver,73,51,50,57,59,73,77,19-09-2018 12:10
Everaldo,Kashima Antlers,Japanese J. League Division 1,LM,Silver,73,64,67,69,70,70,76,19-09-2018 12:10
Gustavo,Jeonbuk Hyundai Motors,Korean K League 1,CB,Silver,73,66,73,58,68,43,68,19-09-2018 12:10
Walace,Udinese Calcio,Italian Serie A,RB,Silver,73,89,69,68,78,35,53,19-09-2018 12:10
M. Rodák,Fulham,English League Championship,CB,Silver,73,82,72,68,74,42,74,19-09-2018 12:10
A. Zedadka,Clermont Foot 63,French Ligue 1,CDM,Silver,73,75,51,62,69,70,76,19-09-2018 12:10
M. Benítez,Defensa y Justicia,Argentina Primera División,CM,Silver,73,79,72,71,73,34,62,19-09-2018 12:10
Carraça,Belenenses SAD,Portuguese Liga ZON SAGRES,CB,Silver,73,46,37,54,55,74,69,19-09-2018 12:10
H. Arslan,Demir Grup Sivasspor,Turkish Süper Lig,ST,Silver,73,69,60,74,77,68,70,19-09-2018 12:10
Munir,Atakaş Hatayspor,Turkish Süper Lig,RM,Silver,73,82,64,68,77,33,58,19-09-2018 12:10
J. Correa,Racing Club,Argentina Primera División,CDM,Silver,73,89,70,70,78,44,69,19-09-2018 12:10
Fede,Real Valladolid CF,Spanish Segunda División,CDM,Silver,73,55,57,69,70,67,69,19-09-2018 12:10
D. Toköz,Trabzonspor,Turkish Süper Lig,CDM,Silver,73,79,52,68,73,69,68,19-09-2018 12:10
S. Bastien,Standard de Liège,Belgian Jupiler Pro League,CDM,Silver,73,65,67,71,72,69,67,19-09-2018 12:10
Manu García,Deportivo Alavés,Spain Primera Division,CB,Silver,73,70,29,52,61,76,64,19-09-2018 12:10
Pedro Chirivella,FC Nantes,French Ligue 1,ST,Silver,73,84,68,66,76,42,66,19-09-2018 12:10
André Simões,AEK Athens,Greek Super League,LM,Silver,73,57,66,69,67,68,73,19-09-2018 12:10
E. Aguirre,CF Monterrey,Mexican Liga MX,CB,Silver,73,32,63,75,68,73,68,19-09-2018 12:10
K. Świderski,PAOK,Greek Super League,CM,Silver,73,67,33,54,56,74,74,19-09-2018 12:10
Luis Rioja,Deportivo Alavés,Spain Primera Division,ST,Silver,73,79,70,57,68,38,72,19-09-2018 12:10
M. Wittek,Vitesse,Holland Eredivisie,CDM,Silver,73,82,67,69,75,37,58,19-09-2018 12:10
J. Otero,Santos Laguna,Mexican Liga MX,LM,Silver,73,71,72,69,73,41,63,19-09-2018 12:10
W. Montoya,Cruz Azul,Mexican Liga MX,ST,Silver,73,69,47,61,68,72,72,19-09-2018 12:10
Iago,Al Taawoun,Saudi Abdul L. Jameel League,CM,Silver,73,69,60,72,71,62,74,19-09-2018 12:10
Pedro Nuno,Belenenses SAD,Portuguese Liga ZON SAGRES,CB,Silver,73,87,68,68,80,20,53,19-09-2018 12:10
Yan Junling,Shanghai Port FC,Chinese Super League,CB,Silver,73,67,54,66,66,72,75,19-09-2018 12:10
T. Antalyalı,Galatasaray SK,Turkish Süper Lig,CB,Silver,73,32,67,78,67,69,63,19-09-2018 12:10
G. Ferrari,U.S. Sassuolo Calcio,Italian Serie A,CM,Silver,73,76,72,52,68,38,76,19-09-2018 12:10
Adrián Marín,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,RM,Silver,73,66,58,75,71,56,51,19-09-2018 12:10
J. Dilrosun,FC Girondins de Bordeaux,French Ligue 1,ST,Silver,73,68,64,74,75,55,53,19-09-2018 12:10
F. Andone,Cádiz CF,Spain Primera Division,CDM,Silver,73,71,56,71,68,70,72,19-09-2018 12:10
